1§zurück zu Windows|Das Programm wird beendet
37§Aktivieren der Grafik|Darstellung der Lagenkugel-Projektion der ausgwewählten Daten
38§Berechnen|Berechnungen werden gestartet. Ergebnisse können gespeichert werden
39§Azimut|Azimut der Rotationsachse, Eingabe mit RETURN beenden.
40§Fallwinkel|Fallwinkel der Rotationsachse, Eingabe mit RETURN beenden.
41§Rotationswinkel|Drehwinkel im Uhrzeigersinn eingeben, Eingabe mit RETURN beenden.
42§Bestätigen|Daten für die Rotation bestätigen
43§Azimut|Fall-Azimut der Daten, Eingabe mit RETURN beenden.
44§Fallwinkel|Fallwinkel der Daten, Eingabe mit RETURN beenden.
45§Bestätigen|Bestätigung der Eingabe. Es kann auch RETURN eingegeben werden.
46§zurück zum letzten Fenster|zurück zum Anfang von ROTATIONEN
47§Datenliste|Liste der eingegebenen Daten und der rotierten Daten
48§nächstes Fenster|Das Fenster für Dateneingabe wird angezeigt
49§manuelle Dateneingabe| Eingabe der Daten (Azimut/Fallwinkel)
50§Aktivieren des Fensters|Nach START kann die Dateneingabe beginnen.
51§Umschalten zur Graphik|Den Bildschirm für die Lagenkugel-Projektion anzeigen.
52§zurück zum letzten Fenster|zurück zum Beginn von 'Plotten von Daten'
53§Datenliste|Die eingegebenen Daten werden hier aufgelistet.
54§Datenliste|Die Daten aller ausgewählter Dateien werden aufgelistet.
55§Auswahl beenden|Auswahl der Dateien beenden
56§Plotfläche|Die ausgewählten Daten werden dargestellt. Projektion, Darstellung
57§der Daten und Farbe waren in Fabric.ini gespeichert.
58§Plot-Datei|Angaben für die Plot-Datei,
59§ diese muß mit dem Grafik-Menu spezifiziert werden
60§Grafik-Menu ok?|Die im Menu 'Grafik' gewählten Spezifikationen sollen gelten
61§Radius der Projektion|Radius der Projektion in der Plot-Datei
62§Mittelpunkt der Projektion|Mittelpunkt der Projektion in der Plot-Datei
63§horizontal|horizontaler Abstand des Mittelpunktes vom linken Bildrand
64§vertikal|vertikaler Abstand vom unteren Bildrand
65§übernehmen|Diese Einstellungen sollen gelten
66§Auswahl anzeigen|zeigt an, ob die Eingabe in Alt- oder Neugrad erfolgen soll
67§nächstes Fenster|Zur Eingabe von Achse und Öffnungswinkel
68§Daten|Daten des Kleinkreises
69§Azimut|Azimut der Kleinkreis-Achse, Eingabe mit RETURN beenden.
70§Fallwinkel|Fallwinkel der Kleinkreis-Achse, Eingabe mit RETURN beenden.
71§Apical-Winkel|Öffnungswinkel des Kleinkreises, Eingabe mit RETURN beenden.
72§Eingabe bestätigen|Daten zum Zeichnen eines Kleinkreises bestätigen
73§Daten verwenden|Kleinkreise für eingegebene Daten werden berechnet.
74§Dateneingabe, Datentyp, Winkeltyp, Bereich |
75§zum nächsten Fenster|weiter zur Dateneingabe
76§manuelle Dateneingabe|Meßdaten eingeben
77§Betrag (Länge)|Länge des gemessenen Objektes, Eingabe mit RETURN beenden.
78§Ende der Dateneingabe|Daten können gespeichert werden
79§Berechnung starten|Die statistischen Maßzahlen werden angezeigt
80§zum vorigen Fenster|zurück zum Anfang von 'Kleinkreise'
81§zum vorigen Fenster|zurück zum Anfang von 'Masszahlen'
82§Liste der Dateien|Daten aus diesen Dateien wurden zur Berechnung zusammengefaßt
83§Voll- oder Halbkreis|Daten sind Achsen (1..180) oder Vektoren (1..360)
84§siehe Hilfe|Diese Masszahlen werden in der Hilfe bzw. im Handbuch erklärt.
85§zum vorigen Fenster|zurück zur Dateneingabe
86§Maximalwert|Größe der an stärksten besetzten Klasse
87§Plotfläche|Die Darstellung der Richtungsrose, Füllung und Farbe wurden aus Fabric.ini übernommen.
88§ Füllung und Farbe ausgewählt werden.
89§Winkel-Intervall|Die Größe der Sektoren (Klassen) wird als Winkel eingegeben
90§Winkelabstand|Schrittweite für fließende Klassengrenzen (muß ein Teiler des Intervalls sein.)
91§Eingabe|Sektorengröße und Schrittweite
92§Bestätigung|Die Eingaben werden übernommen.
93§zum letzten Fenster|zurück zum Beginn von 'RICHTUNGSROSE'
94§Dateneingabe, Gefügetyp, Winkel|
95§Plotfläche|Alle Einstellungen (Halbkugel, Projektion, Farbe etc.) wurden in Fabric.ini gespeichert.
96§eingegeben werden.
97§zurück zum letzten Fenster|zurück zur Dateneingabe
98§zum nächsten Fenster|zu den Lagekugel-Projektionen
99§Plotfläche|PLot der Lagenkugel (Einstellungen wurden in Fabric.ini gespeichert).
100§Projektionsmethode|Art des Netzes
101§Netz zeichnen|Abstände der Groß- und Kleinkreise und Kippung der N-S-Achse
102§Abstand der Groß- und Kleinkreise von einander als Winkel eingeben (10 Grad)
103§Stützpunkte|Abstand zwischen den Stützpunkten als Winkel eingeben
104§Kippung der N-S-Achse|Kippung der N-S-Achse nach vorne positiv
105§übernehmen|Diese Werte werden für den Plot übernommen.
106§zum letzten Fenster|Zurück zum Anfang von 'PROJEKTIONEN'
107§Art der Dateneingabe|Die Art der Dateneingabe muß gewählt werden
108§Daten eingeben|Regelungsgrad und Zyindrizität eingeben. Darstellungsart wählen
109§Regelungsgrad eingeben|Regelungsgrad in Prozent eingeben, Eingabe mit RETURN beenden.
110§Zylindrizität eingeben|Zylindrizität in Prozent eingeben, Eingabe mit RETURN beenden.
111§Symbol anklicken|Symbol zur Darstellung der Daten, mit Return beenden.
112§Umschalten zur Grafik|R%-G&-Diagramm wird geplottet.
113§zurück zum Anfang|zurück zum Anfang von 'R%-G%'
114§Plotfläche|Vor dem Plot muß die Farbe gewählt werden.
115§Koordinaten|Länge der Koordinaten-Achsen eingeben
116§Koordinaten-Nullpunkt|Lage des Nullpunktes von linken und unteren Rand
117§horizontal|horizontaler Abstand des Nullpunktes vom linken Bildrand
118§Vertikal|vertikaler Abstand des Nullpunktes vom unteren Bildrand
119§zurück zum letzten Fenster|zurück zur Dateneingabe
120§Azimut|Azimut der Störungsfläche eingeben, Eingabe mit RETURN beenden.
121§Fallwinkel|Fallwinkel der Störungsfläche eingeben, Eingabe mit RETURN beenden.
122§Azimut|Azimut des Striemungslinears eingeben, Eingabe mit RETURN beenden.
123§Fallwinkel|Fallwinkel des Striemungslinears eingeben (Abschiebung negativ), Eingabe mit RETURN beenden.
124§zurück zum letzten Fenster|zurück zum Begin von 'Paläostress'
125§Plotfläche|Alle Einstellungen zum Zeichnen der Grafik wurden in Fabric.ini gespeichert.
126§Auszählkalotte|Größe der Auszählkalotte (%) eingeben. Vorschlag: 10%.
127§Isolinien der Kompression|Farben der gewählten Isolinien werden angezeigt.
128§Maximum und Minimum|maximale und minimale Zahl der Kompressions-Dieder
129§Maximum|Maximale Zahl der Kompressions-Dieder
130§Minimum|Minimale Größe der Schnittmenge der Kompressions-Dieder (ideal: 0%)
131§Art der Dateneingabe|Die Art der Dateneingabe muß gewählt werden
132§Eingabe einer Viertelfalte|Vergenzwinkel und drei Punkte auf der Viertelfalte
133§Vergenzwinkel|Vergenzwinkel= Abweichung von der vertikalen (nach links negativ), Eingabe mit RETURN beenden.
134§1.Punkt, X-Koordinate|1. Punkt vom Inversionspunkt gesehen, X-Wert eingeben, Eingabe mit RETURN beenden.
135§1.Punkt, Y-Koordinate|1. Punkt vom Inversionspunkt gesehen, Y-Wert eingeben, Eingabe mit RETURN beenden.
136§mittlerer Punkt, X-Koordinate|2. Punkt vom Inversionspunkt, X-Wert eingeben, Eingabe mit RETURN beenden.
137§mittlerer Punkt, Y-Koordinate|2. Punkt vom Inversionspunkt, Y-Wert eingeben, Eingabe mit RETURN beenden.
138§dritter Punkt, X-Koordinate|der 3.Punkt sollte der Scheitel der Falte sein, Eingabe mit RETURN beenden..
139§dritter Punkt, Y-Koordinate|der 3.Punkt sollte der Scheitel der Falte sein, Eingabe mit RETURN beenden.
140§zurück zum letzten Fenster|zurück zum Anfang von 'Fourier'
141§Plotfläche|Die Grafik wird erst nach Eingabe der Farbe und 'Start' geplottet
142§Tabelle|erste drei ungerade Sinus-Koeffizienten der Falten
143§Breite|Breite der Grafik
144§Breite|Breite der Grafik eingeben
145§Nullpunkt|Abstände des Nullpunktes vom linken und unteren Bildrand
146§Eingabe|Eingabe der Eigenwerte, nur Nachkommastellen!
147§Lambda1|Kleinsten Eigenwert eingeben. Nur Nachkommastellen. Eingabe mit RETURN beenden.
148§Lambda2|mittleren Eigenwert eingeben. Nur Nachkommastellen
149§Lambda3|größten Eigenwert eingeben. Nur Nachkommastellen. Eingabe mit RETURN beenden.
150§falscher Wert| Die drei Eigenwerte müssen die Summe 1 bilden.
151§zurück zum letzten Fenster|zurück zum Anfang von 'WOODCOCK'
152§Plotfläche|Zum Plotten START drücken
153§Tabelle|c-Werte = ln(lambda3/lambda1). C ist ein Regelungsmaß
154§Koordinaten|Länge der Koordinaten-Achsen angeben
155§Auswahl|art der Dateneingabe und Winkeltyp (Alt-, Neugrad) muß gewählt werden
156§Plotfeld|Zuerst Projektionsart und Farbe eingeben , 'überarbeiten'
157§mit 'ja' oder 'nein beantworten und Normalspannungen und Formfaktor eingeben
158§Spannungsellipsoid|Die Orientierung des Spannungs-Ellipsoides muß bekannt sein.
159§Azimut|Azimut der größten Hauptnormalspannung eingeben
160§Fallwinkel|Fallwinkel der größten Haptnormalspannung eingeben.
161§Azimut|Azimut der kleinsten Hauptnormalspannung eingeben.
162§Fallwinkel|Fallwinkel der kleinsten Hauptnormalspannung eingeben.
163§unterer Formfaktor|Kleinsten geschätzten Formfaktor auswählen.
164§oberer Formfaktor|Größten geschätzten Formfaktor auswählen.
165§überarbeiten|Löschen von nicht passenden Daten beenden.
166§Plotfeld|Zum Plotten START drücken
167§Tabelle der Striemungen|Tabelle der Eigenwerte der Striemungen
168§Tabelle|Tabelle der Striemungen der berechneten theoretischen Verteilungen
169§Eigenwerte|Eigenwerte der gemessenen Striemungen
170§|Isogonen|Längen der Isogonen
171§Scheitel|Abstand zwischen Scheitelpunkten auf der Bankober- Unterseite eingeben. Eingabe mit RETURN beenden.
172§10°-Isogone|Länge der 10°-Isogone eingeben. Eingabe mit RETURN beenden.
173§20°-Isogone|Länge der 20°-Isogone eingeben. Eingabe mit RETURN beenden.
174§30°-Isogone|Länge der 30°-Isogone eingeben. Eingabe mit RETURN beenden.
175§40°-Isogone|Länge der 40°-Isogone eingeben. Eingabe mit RETURN beenden.
176§50°-Isogone|Länge der 50°-Isogone eingeben. Eingabe mit RETURN beenden.
177§60°-Isogone|Länge der 60°-Isogone eingeben. Eingabe mit RETURN beenden.
178§70°-Isogone|Länge der 70°-Isogone eingeben. Eingabe mit RETURN beenden.
179§80°-Isogone|Länge der 80°-Isogone eingeben. Eingabe mit RETURN beenden.
180§90°-Isogone|Länge der 90°-Isogone eingeben. Eingabe mit RETURN beenden.
181§Tabelle|Tabelle der Isogonen und normierten Isogonenlängen
182§Ordinate|Länge der Ordinate eingeben.
183§zurück zum letzten Fenster|zurück zum Anfang von Talpha
184§Plotfläche|Alle Einstellungen wurden in Fabric.ini gespeichert.
185§des Vielfachen der Gleichverteilung
186§Trennung|Gibt an, ob Trennung signifikant ist, oder ob sich Cluster überlappen
187§Testwinkel|Der Testwinkel ergibt sich aus dem Vielfachen der Gleichverteilung.
188§Anzahl der Daten|ohne isolierte, nicht in Clustern vorkommende Daten
189§Isolinie|Vielfaches der Gleichverteilung zur Berechnung der Clustereingeben
190§Maßzahlen|Tabelle der statistischen Maßzahlen der Cluster (s. Handbuch)
191§Plotfläche|Alle Einstellungen zum Zeichnen der Isolinien wurden in Fabric.ini gespeichert.
192§und der Farben der Isolinien
193§Isolinien|Abstufung und Farben der Isolinien
194§Maximum|Das errechnete Maximum und dessen Lage
195§Isolinien|eigene Abstufung wählen
196§1.Isolinie|erste Isolinie in Prozent eingeben
197§2.Isolinie|zweite Isolinie in Prozent eingeben
198§3.Isolinie|dritte Isolinie in Prozent eingeben
199§4.Isolinie|vierte Isolinie in Prozent eingeben
200§5.Isolinie|fünfte Isolinie in Prozent eingeben
201§Auszählkalotte|Größe der Zählkalotte in Prozent eingeben.
202§übergeben|gewählte Isolinien Abstufung übergeben
203§Drucken|Daten und Ergebnisse werden ausgedruckt
204§Daten speichern|Den Ordner auswählen und die Daten in einer Datei speichern.
205§Dateneingabe, Gefügetyp, Winkel |
206§Weiter-Taste wird nach Wahl von Dateneingabe, Gefügetyp und Winkel aktiv.
207§Ergebnisse speichern|Den Ordner auswählen und die Ergebnisse in einer Datei speichern.
208§.
209§.
210§Hilfe|Hilfe-Funktion aufrufen
211§auf Festplatte|Gereinigter Datensatz auf Festplatte
212§auf Diskette 1|Gereinigter Datensatz auf Diskette 1
213§auf Diskette 2|Gereinigter Datensatz auf Diskette 2
214§drucken|Gereinigten Datensatz drucken
215§auf Festplatte|Gelöschte Daten auf Festplatte
216§auf Diskette 1|Gelöschte Daten auf Diskette 1
217§auf Diskette 2|Gelöschte Daten auf Diskette 2
218§drucken|Gelöschte Daten drucken
219§Weiter zur Grafik|Im nächsten Fenster wird das Diagramm dargestellt.
220§zurück zur Programliste|Beenden des Programmes 'Rekonstruktion
221§Erstellung einer Datenliste|Daten werden aus gezeichneten Diagrammen gelesen
222§Das Feld 'Fertig' anklicken| Wenn die Zeichnung in der Zwischenablage ist.
223§Linear anklicken|Azimut umd Fallwinkel werden berechnet
224§zum Hauptformular|zurück zum Hauptformular, neue Bitmap
225§Grafik öffnen|Plotfeld erstellen
226§Abschließen|Berechnung der Daten beenden
227§Anzahl der Daten|Anzahl der berechneten Daten
228§Datenliste|Liste der berechneten Daten
229§Art der Daten|Sind die Polpunkte der Bitmap Flächenpole oder Lineare?
230§Welches Netz?|Welche Projektionsmethode wurde für die Bitmap verwendet?
231§Festplatte|Berechnete Daten auf der Festplatte speichern
232§Laufwerk A:|Berechnete Daten auf Laufwerk A: speichern
233§2. Laufwerk| Berechnete Daten auf dem 2. Laufwerk speichern
234§Drucker|Liste der berechneten Daten drucken
235§Hilfe|Hilfe aufrufen
236§Berechnen von Daten|Azimut & Fallen aus geplotteten Punkten errechnen
237§von Daten|Punkt mit Mausklick erzeugen. Azimut & Fallwinkel errechnen
238§ebene Verformung|Durchführung von Scherversuchen
239§Scherkasten|Weiter zum nächsten Formular
240§Drucker einrichten|Druck-Parameter einstellen
241§drucken|Scherkasten drucken
242§deformierbare Vorzeichnung|eine oder mehrere der Vorzeichnungen auswählen
243§Linie zeichnen|linke Maustaste drücken, Linie zeichnen, Taste loslassen
244§Ellipse zeichnen|linke Maustaste drücken, Ellipse formen, Taste loslassen
245§Rechteck zeichnen|linke Maustaste drücken, Rechteck formen, Taste loslassen
246§einfügen|Bild aus der Zwischenablage holen
247§Es muß sich ein einfarbiges Bitmap in der Zwischenablage befinden
248§alle Vorzeichnungen löschen| Die Bitmap der Vorzeichnungen wird gelöscht
249§Scherung, bzw. Plättung|Die ausgewählten Werte werden angezeigt
250§Beginnen|Mit dem Scher-Plättungs-Experiment beginnen
251§Scherkasten|Das Scherexperiment erfolgt hier
252§Scherparameter|Scherexperiment auswählen
253§Scherexperiment|Es wird ein Scherexperiment durchgeführt
254§homogene Deformation|Kreise werden Ellipsen, Linien bleiben Linien
255§nicht homogene Deformation|Scherung wird zum oberen Rand hin größer
256§Scherwinkel wählen|Scrollen und Winkel anklicken
257§Faktor auswählen| für nicht affine Deformation Faktor auswählen
258§Plättungsparameter|Auswahl der Plättungsparameter
259§Plättung wählen|Es wird ein Plättungsexperiment durchgeführt
260§Maß der Plättung|Prozent auswählen, auf das die Vorzeichnung geplättet werden s
261§zurück zum Anfang|Scherkasten neu beginnen
262§kopieren|In die Zwischenablage kopieren
263§ausschneiden|In die Zwischenablage verlegen
264§speichern|Bitmap in einer festgelegten Datei speichern
265§Speichern unter| Datei festlegen und Bitmap speichern
266§Talbot-Methode|Strainanalyse mit Längung oder Verkürzung von Gängen
267§zum nächsten Formular|Beginn mit der Strainanalyse
268§max. Eingabe|maximale Datenmenge (Fabric.ini, Zeile 84)
269§Meßwerte eies Punkts bestimmen|Klicken Sie einen Punkt im Diagramm an, um sienen Meßwert zu erhalten.
270§Auswahl der Sprache|Sprache für alle Dialoge wählen. Diese Wahl kann später nicht mehr erfolgen.
271§Dialoge auf Deutsch|Alle folgenden Dialoge werden auf Deutsch geführt.
272§Dialoge auf Englisch|Alle folgenden Dialoge werden auf Englisch geführt.
273§Aufruf des Hilfe-Systems|Die Hilfe ist im Windows-Stil aufgebaut. Sie umfaßt auch mathematische Erläuterungen.
274§Handbuch|Das aktuelle Kapitel des Handbuchs wird als Winword-Datei aufgemacht. Das gesamte Handbuch findet sich im Ordner 'Handbuch'.
275§Daten suchen|Der aktuelle Pfad wird angezeigt. Wählen Sie das Laufwerk und den kompletten Pfad für die Datei, die die Daten enthält. 
276§gewählte Projektion|Projektionen können im Menu 'Projektion' geändert werden.
277§Typ der Datei, in der die Grafik gespeichert wird|Der Datei-Typ kann im Menu 'Grafik' gewählt werden.
278§Ordner, der die Excel-Datei enthält|Wählen Sie das Laufwerk und den Pfad und bstätigen Sie mit 'OK'.
279§Tabelle der Excel-Datei|Die vorhandenen Tabellen werden angezeigt. Wählen Sie eine aus. 
280§Spalten für Azimut und Fallwinkel|Geben Sie an, ob die Daten einspaltig mit Trennzeichen oder zweispaltig eingetragen wurden.
281§Bestätigung|einspaltige oder zweispaltige Notierung bestätigen.
282§Zweispaltige Tabelle|Auswahl der Zellen bei zweispaltiger Notierung
283§Einspaltige Tabelle|Auswahl der Zellen bei einspaltiger Notierung
284§erste Zelle der Azimut-Spalte|Geben Sie Spalte (Buchstabe) und Zeile (Zahl) ein und bestätigen Sie mit 'Return'.
285§Spalte der Fallwerte|Geben Sie den buchstaben für die Spalte der Fallwerte ein und bestätigen Sie mit 'Return'.
286§letzte Zeile der ausgewählten Daten|Geben Sie die letzte Zeile des Datensatzes, den Sie verwenden wollen, ein. Bestätigen Sie mit 'Return'.
287§Bestätigung|Klicken Sie 'OK' erst an, wenn Sie sicher sind, daß alles richtig eingetragen ist.
288§Trennzeichen von Azimut und Fallwinkel|bei einspaltiger Notierung muß das Trenn zeichen angegeben werden.
289§Erstellen einer weiteren Datei|Mit dieser Taste können Sie eine erneute Datenauswahl vornehmen.
290§Abschluß der Datenauswahl|Datenauswahl beenden und zum Grafik-Formular übergehen.
291§Liste der Excel-Dateien|Alle im gewählten Ordner enthaltenen Excel-Dateien werden aufgelistet. Klicken Sie doppelt auf die Datei, die gewählt wird.
292§ausgewählte daten|alle Daten der ausgewählten Zellen werden angegeben. Zellen, in denen keine daten enthalten sind, werden überlesen. 
293§Auswahl des Gefügetyps|Klicken Sie den Gefügetyp der Daten an. 
294§obere Zelle|bei einspaltiger Notierung: erste Zelle (Buchstabe und Zahl) eingeben.
295§untere Zelle|bei einspaltiger Notierung: letzte Zelle (Buchstabe und Zahl) eingeben.
296§Formular öffnen| Auflisten aller Dateien dieses Gefügetyps im gewählten Ordner
297§Konturierung mit fließenden Grenzen|Die Konturierung wird mit dem gewählten Spektrum durchgeführt.
298§Hauptnormalspannungen|Azimute und Fallwinkel der angeklickten Punkte werden angezeigt.
299§größte Hauptnormalspannung|Drücken sie diese Taste, wenn Sie Sigma1 angeklickt haben.
300§mittlere Hauptnormalspannung|Drücken Sie diese Taste, wenn Sie Sigma2 angeklickt haben.
301§kleinste Hauptnormalspannung|Drücken sie diese Taste, wenn Sie Sigma3 angeklickt haben.
302§Hauptnormalspannungen eintragen|Klicken Sie auf einen Punkt im Diagramm und anschließend auf die zugehörige Sigma-Taste.
303§Dateneingabe, Winkel|
304§'Weiter'-Taste wird nach Wahl der Dateneingabe und des Winkeltyps aktiv.
305§Gereinigter Datensatz|Die verbliebenen Daten speichern
306§Gereinigter Datensatz|Die verbliebenen Daten drucken
307§Eliminierte Daten|die gelöschten Daten speichern
308§Eliminierte Daten|die gelöschten Daten drucken
309§Grafik drucken|die Grafik, die auf dem Bildschirm angezeigt wird, drucken
310§Plotfläche|Dreiecks-Darstellung der Eigenwerte
311§Liste der Eigenwerte|Eigenwerte der theoretischen und gemessenen Striemungen
312§Start der Grafik|Diagramm darstellen
313§Plotfläche|Das Woodcock-Diagramm ist analog zum Flinn-Diagramm
314§c = lambda3/lamba1|Der c-Wert ist ein Maß für die Regelungsschärfe
315§PlotFläche|Dreiecksdarstellung der Regelungstypen
316§Plotfläche|b1-b3-Diagramm nach Ramsay & Huber
317§Aktivieren der Grafik|Zeichnen eines b1-b3-Diagramms
318§Plotfläche|normierte Isogonenlängen werden gegen den Isogonenwinkel dargestellt.
319§Öffnen der Grafik|normierte Isogonenlängen werden gegen den Isogonenwinkel dargestellt.
320§Strain-Ellipsoid|Die Orientierung der Achsen wird aus der Verteilungsfirm ermittelt.
321§Häufungen entfernen|Erzeugen sie eine gleichmäßige Verteilung ohne Häufungen.
322§Strain-Ellipsoid|Form des Strain-Ellipsoides
323§Strain-Ellipsoid|geometrische Parameter
324§nächstes Formular|Weiter zur Bildeingabe
325§Deutsch|Die Dialoge aller Programmen erfolgen in deutscher Sprache.   
326§Englisch|Die Dialoge aller Programme erfolgen in englischer Sprache.
327§manuell|Die Dateneingabe erfolgt manuell.
328§Datei|Die Dateneingabe erfolgt aus einer Datei.
329§Schnittkante|Ermittlung der Schnittkante aus zwei Flächen
330§Winkel aus Flächen|Berechnung des Winkels aus zwischen zwei Flächen
331§Winkel aus Linearen|Berechnung des Winkels aus zwei Linearen
332§Fläche aus Linearen|Berechnung der Fläche aus zwei Linearen
333§Normale|Berechnung der Normalen auf zwei Linearen
334§Altgrad|Winkel werden in Altgrad (0..360°) angegeben.
335§Neugrad|Winkel werden in Neugrad (0..400gon) angegeben.
336§Lineare|Daten sind Lineare.
337§Flächen|Daten sind Flächen.
338§reine Richtung|Daten haben keine definierten Beträge.
339§Richtung & Betrag|Daten haben definierte Beträge.
340§Achsen|Daten sind bipolar.
341§Vektoren|Daten sind unipolar.
342§Dateneingabe aus einem Bild|*.BMP oder *.JPG Datei importieren.
343§Koordinaten|Datei laden, die die Koordinaten der Mittelpunkte deformierter Objekte enthält.    
344§Excel-Datei|Daten aus einer Excel-Daei lesen.
345§Bitmap|Bild importieren.
346§Faltenumbiegung|zuerst den Umbiegungspunkt anklicken, dann diese Taste drücken.
347§Faltenscheitel|zuerst Faltenscheitel anklicken, dann diese Taste drücken.
348§Beginnen|Formular aktivieren.
349§zweiter Punkt der Viertelfalte|2. Punkt anklicken, dann diese Taste drücken
350§erster Punkt der viertelfalte|1. Punkt anklicken, dann diese Taste drücken.
351§1. Umbiegung|Zuerst einen Umbiegungspunkt anklicken, dann diese Taste drücken
352§2. Umbiegungspunkt|Zuerst den zweiten Umbiegungspunkt anklicken, dann diese Taste drücken
353§Vergenz rückgängig|Einen Punkt in der Faltenachsenfläche anklicken, dann diese Taste drücken
354§Vergenz rückgängig|Zweiten Punkt auf der Faltenachsenfläche anklicken, dann diese Taste drücken
355§Bildmittelpunkt nach der Rotation|Klicken Sie auf den Punkt, der nach der Rotation Mittelpunkt werden soll, dann auf diese Taste
356§Scheitelpunkt der Falte|Klicken Sie auf einen Scheitelpunkt der Falte, dann auf diese Taste
357§Scheitelpunkt der Falte|Klicken Sie auf den anderen Scheitelpunkt der Falte, dann auf diese Taste
358§Zeichnen der Isogonen|Legen Sie die Tangenten an die Falte und Klicken Sie auf die Berührungspunkte
359§Endpunkt der Isogone|Legen Sie die Tangente an die Falte, klicken Sie auf den Berührungspunkt und dann auf diese Taste
360§Endpunkt der Isogone|Legen Sie die Tangente an die andere Seite der Falte, klicken Sie auf den Berührungspunkt und dann auf diese Taste
361§Ende der Kurve|Drücken Sie diese Taste, wenn keine weiteren Tangenten möglich sind.
362§Beginn einer neuen Messung|nächste Falte messen.
363§Obere Halbkugel|Daten werden in die obere Halbkugel projiziert.
364§Untere Halbkugel|Daten werden in die untere Halbkugel projiziert.
365§Farbe|Farbe der Datenpunkte oder -linien
366§nicht gefüllt|Die Richtungsrose wird mit Linien dargestellt
367§gefüllt|Die Richtungsrose wird mit Flächen dargestellt
368§aus Datei|Grafik aus einer Datei laden
369§U-Tisch-Achsen|Daten sind U-Tisch-Achsen
370§U-Tisch-Pole| Daten sind U-Tisch-Flächenpole
371§offene Kreise|Daten werden mit offenen Kreisen geplottet
372§gefüllte Kreise|Daten werden mit gefüllten Kreisen geplottet
373§offene Dreiecke|Daten werden mit offenen Dreiecken geplottet
374§gefüllte Dreiecke|Daten werden mit gefüllten Dreiecken geplottet
375§offene Quadrate|Daten werden mit offenen Quadraten geplottet
376§gefüllte Quadrate|Daten werden mit gefüllten Quadraten geplottet
377§offene Rauten|Daten werden mit offenen Rauten geplottet
378§gefüllte Rauten|Daten werden mit gefüllten Rauten geplottet
379§Zählkalotte (Vektorgraphik)|Isolinien mit der Zählkalotte in Vektorgraphik konstruieren
380§Mellis-Methode|Isolinien mit der Mellis-Methode konstruieren
381§Skalarprodukt-Methode, Stufen|Abgestufte Konturen mit der Skalarprodukt-Methode konstruieren
382§Skalarprodukt-Methode, fließend|Fließende Konturen mit der Skalarprodukt-Methode konstruieren
383§Punktfarbe|Wahl der Farbe eines Punktes, der angeklickt werden kann
384§Punkt anklicken|Bei Anklicken eines Punktes werden dessen Azimut und Fallwinkel angegeben
385§Farbe der Harnischflächen|Wählen Sie die Farbe für die Großkreise
386§Farbe der Striemungen|Wählen Sie die Farbe der Pfeile
387§Lambert|Darstellung in Lambertscher Projektion
388§stereografisch|Darstellung in stereografischer Projektion
